AREA_R250	
1.000000000	0.000000000
0.999997498	0.000150019
0.999991026	0.000299998
0.999980598	0.000449817
0.999966234	0.000599359
0.999944529	0.000747161
0.999917196	0.000894635
0.999885060	0.001041134
0.999848156	0.001186500
0.999806524	0.001330581
0.999760208	0.001473223
0.999709260	0.001614277
0.999653736	0.001753592
0.999593695	0.001891023
0.999529203	0.002026425
0.999460331	0.002159655
0.999387153	0.002290572
0.999309748	0.002419041
0.999228200	0.002544924
0.999142597	0.002668089
0.999053030	0.002788407
0.998959597	0.002905751
0.998862396	0.003019996
0.998761531	0.003131023
0.998657111	0.003238712
0.998549245	0.003342951
0.998438049	0.003443629
0.998323640	0.003540637
0.998206139	0.003633874
0.998085670	0.003723238
0.997962360	0.003808634
0.997836340	0.003889971
0.997707742	0.003967161
0.997576701	0.004040120
0.997443356	0.004108770
0.997307847	0.004173036
0.997170316	0.004232848
0.997030908	0.004288141
0.996889770	0.004338854
0.996747051	0.004384932
0.996602902	0.004426326
0.996457475	0.004462989
0.996310924	0.004494881
0.996163405	0.004521969
0.996015074	0.004544224
0.995866091	0.004561621
0.995716613	0.004574144
0.995566801	0.004581781
0.995416818	0.004584525
0.995266533	0.004584078
0.995116534	0.004583565
0.994116540	0.004580142
0.993116546	0.004576720
0.992116552	0.004573298
0.991116558	0.004569876
0.990116563	0.004566453
0.989116569	0.004563031
0.988116575	0.004559609
0.987116581	0.004556187
0.986116587	0.004552764
0.985116593	0.004549342
0.984116599	0.004545920
0.983116604	0.004542498
0.982116610	0.004539075
0.981116616	0.004535653
0.980116622	0.004532231
0.979116628	0.004528809
0.978116634	0.004525386
0.977116640	0.004521964
0.976116645	0.004518542
0.975116651	0.004515119
0.974116657	0.004511697
0.973116663	0.004508275
0.972116669	0.004504853
0.971116675	0.004501430
0.970116681	0.004498008
0.969116686	0.004494586
0.968116692	0.004491164
0.967116698	0.004487741
0.966116704	0.004484319
0.965116710	0.004480897
0.964116716	0.004477475
0.963116722	0.004474052
0.962116727	0.004470630
0.961116733	0.004467208
0.960116739	0.004463786
0.959117017	0.004479595
0.958119413	0.004545425
0.957126339	0.004661111
0.956140208	0.004826060
0.955163432	0.005039679
0.954198423	0.005301375
0.953247595	0.005610554
0.952313360	0.005966625
0.951398130	0.006368993
0.950503448	0.006817063
0.949605681	0.007257247
0.948687002	0.007651927
0.947749779	0.008000326
0.946796378	0.008301666
0.945829169	0.008555169
0.944850518	0.008760058
0.943863141	0.008918778
0.942874209	0.009067142
0.941885255	0.009215367
0.940896281	0.009363452
0.939907286	0.009511397
0.938918271	0.009659202
0.937929234	0.009806867
0.936940177	0.009954391
0.935951099	0.010101775
0.931005388	0.010836574
0.926059155	0.011567813
0.921112393	0.012295449
0.916165098	0.013019438
0.911217268	0.013739741
0.906268898	0.014456324
0.901319986	0.015169163
0.896370451	0.015878253
0.891420447	0.016583588
0.886469921	0.017285272
0.881518889	0.017983390
0.876567364	0.018678017
0.871615358	0.019369216
0.866662881	0.020057044
0.861709944	0.020741546
0.856756553	0.021422761
0.851802715	0.022100719
0.846848435	0.022775443
0.841893719	0.023446951
0.836938571	0.024115255
0.831982992	0.024780362
0.827026986	0.025442275
0.822070554	0.026100993
0.817113699	0.026756513
0.812156420	0.027408828
0.807198720	0.028057932
0.802240598	0.028703815
0.797282057	0.029346469
0.792323096	0.029985886
0.787363717	0.030622057
0.782403922	0.031254979
0.777443712	0.031884645
0.772483091	0.032511058
0.767522389	0.033134154
0.762560938	0.033753822
0.757599054	0.034370010
0.752636744	0.034982752
0.747674013	0.035592078
0.742710867	0.036198012
0.737747311	0.036800577
0.732783347	0.037399788
0.727818982	0.037995657
0.722854216	0.038588193
0.717889054	0.039177401
0.712923497	0.039763280
0.707957548	0.040345829
0.702991208	0.040925039
0.698024478	0.041500902
0.693057359	0.042073404
0.688089852	0.042642528
0.683121957	0.043208254
0.678153674	0.043770559
0.673185001	0.044329419
0.668215940	0.044884804
