AREA_R160	
1.000000000	0.000000000
0.999533091	0.003917249
0.997939821	0.006478690
0.996028675	0.008821413
0.994259955	0.011274385
0.992590167	0.013792298
0.990801656	0.016229376
0.988933481	0.018606714
0.987017738	0.020958623
0.985072336	0.023268404
0.983091090	0.025548851
0.981076871	0.027801407
0.979032469	0.030027576
0.976960570	0.032228939
0.974860076	0.034410958
0.972743591	0.036565276
0.970604778	0.038700185
0.968446506	0.040821546
0.966294763	0.042943275
0.964149324	0.045072498
0.962011175	0.047210024
0.959876260	0.049351098
0.957742066	0.051492891
0.955614136	0.053629401
0.953479252	0.055773467
0.951344642	0.057917396
0.949210099	0.060060963
0.947075413	0.062203945
0.944940380	0.064346119
0.942804796	0.066487268
0.940668460	0.068627174
0.937105339	0.072190707
0.933537960	0.075749977
0.929965441	0.079304088
0.926389176	0.082849979
0.922807350	0.086388133
0.919208181	0.089926016
0.915601428	0.093446024
0.911980259	0.096954377
0.908320616	0.100413389
0.904528325	0.103731679
0.900606974	0.106896400
0.896563841	0.109903970
0.892406732	0.112751914
0.888143807	0.115438877
0.883783413	0.117964596
0.879333930	0.120329843
0.874803626	0.122536346
0.870200537	0.124586697
0.865532358	0.126484243
0.860806403	0.128232955
0.856029517	0.129837341
0.851208049	0.131302339
0.846347838	0.132633220
0.841454214	0.133835505
0.836532009	0.134914897
0.831585568	0.135877229
0.826618780	0.136728423
0.821635095	0.137474455
0.816637562	0.138121340
0.811628848	0.138675117
0.806611265	0.139141854
0.801586800	0.139527655
0.796557143	0.139838671
0.791523707	0.140081133
0.786487652	0.140261389
0.781449907	0.140385953
0.776411183	0.140461560
0.771372001	0.140495225
0.766340287	0.140494348
0.761293475	0.140466697
0.751207966	0.140377492
0.741129470	0.140331336
0.731050847	0.140337023
0.720972392	0.140392068
0.710894332	0.140493941
0.700816821	0.140640078
0.690739973	0.140827873
0.680663862	0.141054687
0.670588637	0.141317842
0.660514419	0.141614625
0.650441191	0.141942291
0.640368899	0.142298062
0.630297452	0.142679128
0.620226873	0.143082639
0.610157176	0.143505712
0.600088195	0.143945435
0.590019751	0.144398865
0.579951841	0.144863013
0.569884280	0.145334868
0.559816938	0.145811379
0.549749669	0.146289449
0.539682326	0.146765944
0.529614760	0.147237693
0.519546824	0.147701482
0.509478378	0.148154049
0.499409289	0.148592077
0.489339437	0.149012193
0.479268717	0.149410954
0.469197045	0.149784850
0.459133012	0.150130007
0.449057167	0.150443414
0.438980544	0.150720917
0.428903202	0.150958663
0.418825237	0.151152701
0.408746784	0.151298976
0.398668018	0.151393321
0.388589164	0.151431458
0.378510492	0.151408983
0.368432234	0.151336420
0.358354200	0.151232369
0.348276387	0.151098426
0.338199125	0.150935863
0.328122304	0.150745694
0.318046031	0.150528695
0.307970358	0.150285413
0.297895344	0.150016174
0.287821054	0.149721097
0.277747556	0.149400106
0.267674927	0.149052935
0.257603250	0.148679146
0.247532621	0.148278135
0.237463145	0.147849143
0.227394942	0.147391268
0.217328143	0.146903475
0.207262899	0.146384604
0.197199376	0.145833383
0.187137757	0.145248433
0.177078246	0.144628285
0.167021069	0.143971380
0.156966474	0.143276086
0.146914732	0.142540703
0.136873640	0.141764064
0.126822199	0.140942669
0.116785207	0.140020383
0.106841895	0.138393988
0.101932581	0.137259024
0.097076980	0.135912593
0.092284177	0.134357289
0.087563186	0.132595938
0.082922969	0.130631591
0.078372450	0.128467526
0.073920528	0.126107256
0.069576089	0.123554534
0.065348017	0.120813374
0.061245208	0.117888056
0.057276580	0.114783147
0.053451064	0.111503538
0.049777611	0.108054470
0.046265193	0.104441556
0.042922788	0.100670819
0.039759364	0.096748734
0.036783846	0.092682262
0.034005078	0.088478904
0.031432796	0.084148567
0.029050800	0.079705607
0.026723180	0.075236077
0.024424050	0.070751825
0.022155572	0.066251990
0.019918449	0.061731597
0.017721561	0.057201256
0.016421192	0.054471590
0.015136036	0.051734730
0.013866997	0.048990359
0.012615038	0.046238156
0.011381178	0.043477791
0.010166494	0.040708935
0.008970139	0.037926600
0.007798886	0.035143566
0.006650373	0.032347640
0.005555960	0.029529153
0.004533009	0.026683963
0.003588963	0.023811648
0.002732697	0.020911977
0.001974001	0.017985289
0.001323061	0.015032794
0.000788950	0.012050426
0.000383967	0.009059303
0.000114049	0.006050301
0.000000000	0.000000000
0.000180626	-0.003013836
0.000517843	-0.006020606
0.001022118	-0.009004132
0.001687737	-0.011955916
0.002499784	-0.014858635
0.003453299	-0.017738181
0.004524415	-0.020558799
0.005705530	-0.023327437
0.007004272	-0.026068274
0.008400446	-0.028750019
0.009888900	-0.031381691
0.011447718	-0.033969349
0.013046267	-0.036538893
0.014672938	-0.039087602
0.016323760	-0.041620740
0.017994355	-0.044140885
0.019681236	-0.046650159
0.021381712	-0.049150239
0.023093791	-0.051642388
0.024816068	-0.054127498
0.027701984	-0.058248217
0.030621476	-0.062366099
0.033558912	-0.066460730
0.036517819	-0.070539876
0.039494621	-0.074605983
0.042552712	-0.078622339
0.045787413	-0.082473813
0.049207146	-0.086174546
0.052794755	-0.089712809
0.056539314	-0.093084570
0.060430363	-0.096286206
0.064457885	-0.099314408
0.068612277	-0.102166102
0.072884292	-0.104838392
0.077264998	-0.107328521
0.081745717	-0.109633849
0.086317962	-0.111751834
0.090973406	-0.113680029
0.095703824	-0.115416091
0.100501064	-0.116957793
0.105357000	-0.118303041
0.110263516	-0.119449895
0.115212475	-0.120396596
0.120195704	-0.121141592
0.125204983	-0.121683581
0.135269793	-0.122154757
0.145347907	-0.122057292
0.155425981	-0.121925904
0.165504175	-0.121779408
0.175582559	-0.121619086
0.185661210	-0.121446171
0.195740206	-0.121261864
0.205819630	-0.121067352
0.215887833	-0.120864059
0.225964232	-0.120652795
0.236040490	-0.120434953
0.246116633	-0.120211804
0.256192687	-0.119984679
0.266268682	-0.119754982
0.276344653	-0.119524206
0.286420635	-0.119293948
0.296496669	-0.119065924
0.306572793	-0.118841985
0.316649052	-0.118624131
0.326725485	-0.118414525
0.336802132	-0.118215512
0.346879030	-0.118029628
0.356956208	-0.117859622
0.367033686	-0.117708466
0.377111470	-0.117579373
0.387189548	-0.117475811
0.397267885	-0.117401284
0.407346613	-0.117317822
0.417425756	-0.117198129
0.427505196	-0.117045700
0.437584835	-0.116863998
0.447664595	-0.116656457
0.457730937	-0.116426805
0.467806475	-0.116177916
0.477881615	-0.115913350
0.487956422	-0.115636437
0.498030978	-0.115350483
0.508105369	-0.115058773
0.518179687	-0.114764574
0.528254028	-0.114471137
0.538328484	-0.114181696
0.548403144	-0.113899474
0.558478092	-0.113627681
0.568553397	-0.113369519
0.578629119	-0.113128180
0.588705299	-0.112906852
0.598781962	-0.112708715
0.608859108	-0.112536950
0.618936718	-0.112394733
0.629014720	-0.112285237
0.639093069	-0.112211635
0.649171633	-0.112177099
0.659250203	-0.112184798
0.669328647	-0.112237905
0.679406770	-0.112339587
0.689484251	-0.112493014
0.699560676	-0.112701350
0.709635708	-0.112967758
0.719708946	-0.113295397
0.729779921	-0.113687422
0.739848091	-0.114146979
0.749912760	-0.114677198
0.759973840	-0.115271325
0.765012934	-0.115571842
0.770035335	-0.115858289
0.775067723	-0.116122156
0.780101702	-0.116353600
0.785137402	-0.116543854
0.790174721	-0.116684595
0.795213309	-0.116767851
0.800252544	-0.116785903
0.805291502	-0.116731209
0.810328940	-0.116596346
0.815363266	-0.116373966
0.820392493	-0.116056774
0.825414224	-0.115637511
0.830425610	-0.115108941
0.835423314	-0.114463867
0.840403481	-0.113695150
0.845361696	-0.112795747
0.850292959	-0.111758759
0.855191660	-0.110577508
0.860051565	-0.109245622
0.864865809	-0.107757157
0.869626935	-0.106106709
0.874326952	-0.104289543
0.878957386	-0.102301747
0.883509392	-0.100140376
0.887973886	-0.097803578
0.892341712	-0.095290708
0.896603825	-0.092602416
0.900751497	-0.089740694
0.904775902	-0.086709371
0.908720627	-0.083572976
0.912657847	-0.080425772
0.916588852	-0.077269419
0.920514207	-0.074104650
0.924426456	-0.070938698
0.928338586	-0.067762247
0.932246097	-0.064580115
0.936149560	-0.061393018
0.940049547	-0.058201669
0.943946631	-0.055006775
0.946283838	-0.053088336
0.948620555	-0.051168841
0.950956904	-0.049248440
0.953293006	-0.047327286
0.955628983	-0.045405530
0.957964958	-0.043483321
0.960301053	-0.041560809
0.962637393	-0.039638144
0.964966748	-0.037725052
0.967309507	-0.035813532
0.969643874	-0.033893153
0.971958347	-0.031951591
0.974259503	-0.029985449
0.976537809	-0.027998850
0.978792185	-0.025986090
0.981018738	-0.023943798
0.983213396	-0.021868733
0.985380595	-0.019749151
0.987502372	-0.017595125
0.989579821	-0.015398326
0.991568381	-0.013119061
0.993397354	-0.010714224
0.995206307	-0.008291622
0.997020326	-0.005872887
0.998656831	-0.003332265
1.000000000	0.000000000
