Time, rotorL_beta_b1, Inflow(0), Inflow(1), Inflow(2), Inflow(3), Inflow(4), Inflow(5), X_e(0), X_e(1), X_e(2), alpha(0), alpha(1), alpha(2), v_b(0), v_b(1), v_b(2), omega_b(0), omega_b(1), omega_b(2), 
0, 0, 0.000412302, -7.16856e-09, -9.5131e-06, 0.000412179, -0.000158277, -9.5131e-06, -3.93477e-07, 2.20343e-07, -9.99997, 0.000132628, 0.00046684, 0.000131376, -0.00039367, 0.000220399, 0.0284884, 0.132627, 0.46684, 0.131375, 
0.002, -0.0558753, 0.000783762, 2.86186e-06, 1.03749e-05, 0.000784101, -0.000286184, 1.03866e-05, -1.45072e-06, 3.76708e-07, -9.99989, 0.000185173, 0.00168577, 0.000565405, -0.000665276, -6.37932e-05, 0.0531186, -0.0800906, 0.752088, 0.30265, 
0.004, -0.163796, 0.00111952, 1.4051e-05, 4.83136e-05, 0.00111979, -0.00038864, 4.83189e-05, -3.19337e-06, 6.87315e-08, -9.99976, -0.000109456, 0.00339038, 0.00129339, -0.00108318, -0.000244104, 0.0734018, -0.21457, 0.952529, 0.425335, 
0.006, -0.314318, 0.00142536, 3.88489e-05, 0.000102357, 0.00142572, -0.000468382, 0.000102331, -5.74782e-06, -6.59e-07, -9.9996, -0.000705867, 0.00532855, 0.00225003, -0.00148382, -0.000484755, 0.0889412, -0.381914, 0.985629, 0.531313, 
0.008, -0.498569, 0.00170726, 7.8183e-05, 0.000163248, 0.00170775, -0.000525689, 0.000163145, -9.10561e-06, -1.86184e-06, -9.99941, -0.00162568, 0.00717062, 0.00340163, -0.00189471, -0.000721806, 0.0995358, -0.538029, 0.856423, 0.620324, 
0.01, -0.707679, 0.00197128, 0.00013185, 0.000224788, 0.00197188, -0.000563585, 0.000224554, -1.32348e-05, -3.57398e-06, -9.99921, -0.00287961, 0.00856889, 0.00472565, -0.00226273, -0.000998128, 0.105152, -0.716079, 0.541796, 0.703746, 
0.012, -0.933445, 0.00222268, 0.000199888, 0.000283215, 0.00222353, -0.000587365, 0.000282775, -1.80445e-05, -5.89311e-06, -9.999, -0.00452755, 0.0091527, 0.00621353, -0.00257984, -0.00133418, 0.105876, -0.932096, 0.041917, 0.784169, 
0.014, -1.16836, 0.00246601, 0.000280934, 0.000334578, 0.00246731, -0.000600356, 0.000333833, -2.34204e-05, -8.9786e-06, -9.99879, -0.00667775, 0.0085511, 0.00785561, -0.00282859, -0.00177091, 0.10189, -1.21836, -0.643683, 0.857846, 
0.016, -1.40574, 0.00270551, 0.000371177, 0.00037483, 0.00270728, -0.000605519, 0.000373645, -2.92235e-05, -1.30564e-05, -9.99859, -0.00949257, 0.00639929, 0.00962529, -0.00300074, -0.0023334, 0.0934701, -1.59669, -1.50837, 0.911521, 
0.018, -1.63969, 0.00294479, 0.000466296, 0.000401515, 0.00294699, -0.000605744, 0.000399719, -3.52943e-05, -1.83847e-05, -9.99842, -0.013164, 0.00234688, 0.0114617, -0.00308459, -0.003028, 0.0809652, -2.07488, -2.5444, 0.924055, 
0.02, -1.86525, 0.0031869, 0.000561917, 0.000413683, 0.0031894, -0.000603834, 0.00041118, -4.14523e-05, -2.52044e-05, -9.99827, -0.0178765, -0.0039369, 0.0132577, -0.00307346, -0.00382942, 0.0647832, -2.63763, -3.73986, 0.870208, 
0.022, -2.07836, 0.00343428, 0.000654061, 0.000411698, 0.00343683, -0.000602462, 0.000408576, -4.75139e-05, -3.36742e-05, -9.99816, -0.0237599, -0.0127515, 0.0148567, -0.00297521, -0.00467826, 0.0453724, -3.24557, -5.07533, 0.725591, 
0.024, -2.27594, 0.00368873, 0.000740157, 0.000396818, 0.00369111, -0.000604023, 0.000393247, -5.33312e-05, -4.38054e-05, -9.99809, -0.030841, -0.0243456, 0.0160601, -0.00282411, -0.00548315, 0.0232073, -3.83508, -6.51932, 0.47231, 
0.026, -2.45585, 0.00395159, 0.000818917, 0.0003705, 0.00395354, -0.000610437, 0.000366694, -5.88474e-05, -5.54049e-05, -9.99807, -0.0389998, -0.0388915, 0.0166459, -0.00268538, -0.00612698, -0.00122641, -4.32339, -8.02696, 0.104493, 
