#UH-60A: Blade Edgewise Bending Stiffness, determined from Davis, S.J. - Predesign Study for a Modern 4-Bladed Rotor for the RSRA (1981, NASA)
#mm	N-m^2
381.0	0.000E+00
382.9	0.000E+00
382.9	2.290E+05
385.5	2.290E+05
385.5	3.710E+05
825.5	3.710E+05
825.5	1.579E+06
1270.0	1.579E+06
1270.0	1.952E+06
1905.0	1.952E+06
1905.0	3.476E+06
2331.7	3.476E+06
2331.7	3.476E+06
2758.4	3.476E+06
2758.4	3.476E+06
3185.1	3.476E+06
3185.1	3.476E+06
3611.8	3.476E+06
3611.8	3.482E+06
4038.5	3.482E+06
4038.5	3.499E+06
4482.7	3.499E+06
4482.7	3.500E+06
4926.9	3.500E+06
4926.9	3.365E+06
5371.1	3.365E+06
5371.1	2.903E+06
5815.3	2.903E+06
5815.3	2.968E+06
6219.2	2.968E+06
6219.2	2.905E+06
6623.1	2.905E+06
6623.1	2.738E+06
7027.0	2.738E+06
7027.0	1.952E+06
7356.4	1.952E+06
7356.4	1.952E+06
7685.8	1.952E+06
7685.8	1.619E+06
7881.4	1.619E+06
7881.4	1.523E+06
8077.0	1.523E+06
8077.0	1.852E+06
8178.6	1.852E+06
