#UH-60A: Blade Mass, determined from Davis, S.J. - Predesign Study for a Modern 4-Bladed Rotor for the RSRA (1981, NASA)
#mm	kg/m
381.0	0.000E+00
382.9	0.000E+00
382.9	1.338E+03
385.5	1.338E+03
385.5	4.792E+01
825.5	4.792E+01
825.5	3.006E+01
1270.0	3.006E+01
1270.0	1.034E+01
1905.0	1.034E+01
1905.0	1.027E+01
2331.7	1.027E+01
2331.7	1.020E+01
2758.4	1.020E+01
2758.4	1.034E+01
3185.1	1.034E+01
3185.1	1.034E+01
3611.8	1.034E+01
3611.8	1.034E+01
4038.5	1.034E+01
4038.5	1.062E+01
4482.7	1.062E+01
4482.7	1.041E+01
4926.9	1.041E+01
4926.9	1.055E+01
5371.1	1.055E+01
5371.1	1.165E+01
5815.3	1.165E+01
5815.3	1.317E+01
6219.2	1.317E+01
6219.2	1.310E+01
6623.1	1.310E+01
6623.1	1.303E+01
7027.0	1.303E+01
7027.0	1.627E+01
7356.4	1.627E+01
7356.4	1.779E+01
7685.8	1.779E+01
7685.8	1.675E+01
7881.4	1.675E+01
7881.4	1.255E+01
8077.0	1.255E+01
8077.0	3.990E+00
8178.6	3.990E+00
