#UH-60A: Blade Torsional Moment of Inertia about C.G., determined from Davis, S.J. - Predesign Study for a Modern 4-Bladed Rotor for the RSRA (1981, NASA)
#mm	kg-m
381.0	0.000E+00
591.8	0.000E+00
591.8	2.128E-02
662.9	2.128E-02
662.9	3.657E-02
762.0	3.657E-02
762.0	8.185E-02
1164.1	8.185E-02
1164.1	1.066E-01
1905.0	1.066E-01
1905.0	1.413E-01
4039.0	1.413E-01
4039.0	1.544E-01
5588.0	1.544E-01
5588.0	1.765E-01
5815.6	1.765E-01
5815.6	2.066E-01
6096.0	2.066E-01
6096.0	1.935E-01
7027.2	1.935E-01
7027.2	1.502E-01
7340.6	1.502E-01
7340.6	3.043E-01
7391.4	3.043E-01
7391.4	2.604E-01
7594.6	2.604E-01
7594.6	2.543E-01
7835.9	2.543E-01
7835.9	1.691E-01
8178.8	1.691E-01
