x	l1
0.0345572	0.332922
0.0442765	0.406905
0.0464363	0.332922
0.0572354	0.295931
0.0669546	0.406905
0.0799136	0.221948
0.0907127	0.25894
0.101512	0.295931
0.112311	0.295931
0.12311	0.295931
0.132829	0.332922
0.143629	0.332922
0.154428	0.332922
0.165227	0.332922
0.176026	0.332922
0.186825	0.369914
0.197624	0.369914
0.201944	0.369914
0.212743	0.369914
0.223542	0.369914
0.234341	0.369914
0.24514	0.406905
0.25594	0.406905
0.266739	0.406905
0.277538	0.406905
0.287257	0.443896
0.298056	0.443896
0.308855	0.443896
0.319654	0.443896
0.330454	0.480888
0.341253	0.480888
0.352052	0.480888
0.362851	0.480888
0.37365	0.517879
0.384449	0.517879
0.395248	0.517879
0.406048	0.554871
0.416847	0.554871
0.427646	0.554871
0.438445	0.554871
0.448164	0.591862
0.458963	0.591862
0.469762	0.591862
0.480562	0.628853
0.491361	0.628853
0.50216	0.628853
0.512959	0.628853
0.523758	0.665845
0.534557	0.665845
0.545356	0.665845
0.556156	0.702836
0.566955	0.702836
0.577754	0.702836
0.588553	0.739827
0.599352	0.739827
0.610151	0.739827
0.61987	0.776819
0.63067	0.776819
0.641469	0.776819
0.652268	0.776819
0.663067	0.81381
0.673866	0.81381
0.684665	0.81381
0.695464	0.850801
0.706263	0.850801
0.717063	0.850801
0.727862	0.887793
0.738661	0.887793
0.74946	0.887793
0.759179	0.924784
0.769978	0.924784
0.780778	0.924784
0.791577	0.961776
0.802376	0.961776
0.813175	0.961776
0.823974	0.998767
0.834773	0.998767
0.845572	0.998767
0.856371	0.998767
0.867171	1.03576
0.87797	1.03576
0.888769	1.03576
0.898488	1.07275
0.909287	1.07275
0.920086	1.07275
0.930886	1.10974
0.941685	1.10974
0.952484	1.10974
0.963283	1.14673
0.974082	1.14673
0.984881	1.14673
0.99568	1.18372
x	f1
0.0345572	0.332922
0.0442765	0.406905
0.0464363	0.332922
0.0572354	0.295931
0.0669546	0.406905
0.111231	0.554871
0.12203	0.591862
0.131749	0.628853
0.142549	0.702836
0.153348	0.702836
0.163067	0.776819
0.173866	0.776819
0.183585	0.850801
0.194384	0.887793
0.205184	0.924784
0.215983	0.998767
0.225702	0.998767
0.236501	1.07275
0.2473	1.10974
0.257019	1.18372
0.267819	1.18372
0.278618	1.25771
0.288337	1.2947
0.299136	1.33169
0.308855	1.36868
0.319654	1.44266
0.330454	1.47965
0.340173	1.51665
0.350972	1.59063
0.360691	1.59063
0.37149	1.66461
0.38121	1.7016
0.392009	1.73859
0.402808	1.77559
0.412527	1.84957
0.423326	1.88656
0.434125	1.92355
0.443844	1.96054
0.454644	1.99753
0.464363	2.07152
0.475162	2.10851
0.485961	2.18249
0.49676	2.18249
0.506479	2.25647
0.516199	2.29346
0.526998	2.36745
0.537797	2.36745
0.548596	2.44143
0.558315	2.47842
0.569114	2.5524
0.579914	2.5894
0.590713	2.62639
0.600432	2.66338
0.611231	2.70037
0.62095	2.77435
0.631749	2.81134
0.642549	2.84834
0.653348	2.88533
0.663067	2.95931
