x,l1,f1,f2,f3,f4,t1,f5
0,0.283908,0.311802,3.14801,10.0357,17.5401,20.5611,21.037
0.1,0.331392,0.45936,3.42893,10.2447,17.5834,20.594,21.2673
0.2,0.374596,0.95377,3.98267,10.7586,17.7226,20.6322,21.7288
0.3,0.449807,1.37672,4.80109,11.584,17.9095,20.6737,22.4918
0.4,0.537716,1.78818,5.72076,12.5886,18.185,20.7001,23.6858
0.5,0.621456,2.1961,6.75091,13.864,18.5496,20.7171,24.9701
0.6,0.747741,2.6883,7.7574,15.1856,18.9923,20.7446,26.5248
0.7,0.857247,3.14798,8.90787,16.5501,19.5401,20.8186,28.222
0.8,0.951822,3.58287,9.9531,17.8876,20.1841,20.8926,30.0809
0.9,1.06145,4.00726,11.0895,19.1305,20.834,21.2126,31.9398
1,1.2017,4.48634,12.2069,20.1642,20.9763,22.3592,33.7987
