#UH60A-Flatwise Bending Stiffness
#R	    N-m^2
381.0	0.000E+00
382.9	0.000E+00
382.9	2.290E+05
385.5	2.290E+05
385.5	3.680E+05
825.5	3.680E+05
825.5	3.900E+05
1270.0	3.900E+05
1270.0	1.149E+05
1905.0	1.149E+05
1905.0	9.240E+04
2331.7	9.240E+04
2331.7	9.240E+04
2758.4	9.240E+04
2758.4	9.240E+04
3185.1	9.240E+04
3185.1	9.240E+04
3611.8	9.240E+04
3611.8	9.330E+04
4038.5	9.330E+04
4038.5	9.610E+04
4482.7	9.610E+04
4482.7	9.610E+04
4926.9	9.610E+04
4926.9	9.640E+04
5371.1	9.640E+04
5371.1	9.780E+04
5815.3	9.780E+04
5815.3	9.780E+04
6219.2	9.780E+04
6219.2	9.780E+04
6623.1	9.780E+04
6623.1	9.450E+04
7027.0	9.450E+04
7027.0	9.290E+04
7356.4	9.290E+04
7356.4	8.260E+04
7685.8	8.260E+04
7685.8	6.140E+04
7881.4	6.140E+04
7881.4	3.700E+04
8077.0	3.700E+04
8077.0	3.080E+04
8178.6	3.080E+04
