#UH-60A Blade Torsional Stiffness, determined from Davis, S.J. - Predesign Study for a Modern 4-Bladed Rotor for the RSRA (1981, NASA)
#mm	    N-m^2
381.0	2.870E+05
932.0	2.870E+05
932.0	1.429E+05
1483.0	1.429E+05
1483.0	7.428E+04
2034.0	7.428E+04
2034.0	6.976E+04
2585.0	6.976E+04
2585.0	6.976E+04
3136.0	6.976E+04
3136.0	6.976E+04
3687.0	6.976E+04
3687.0	7.049E+04
4238.0	7.049E+04
4238.0	7.111E+04
4789.0	7.111E+04
4789.0	7.111E+04
5340.0	7.111E+04
5340.0	7.111E+04
5891.0	7.111E+04
5891.0	7.111E+04
6442.0	7.111E+04
6442.0	7.077E+04
6993.0	7.077E+04
6993.0	6.976E+04
7544.0	6.976E+04
7544.0	6.976E+04
8095.0	6.976E+04
8095.0	6.976E+04
8176.8	6.976E+04

